            tablename            |    size    
---------------------------------+------------
 it_companies                    | 1800 kB
 streets                         | 1144 kB
 excel_properties                | 864 kB
 districts                       | 184 kB
 comparison_complexes            | 112 kB
 comparison_properties           | 104 kB
 blog_posts                      | 88 kB
 manager_favorite_properties     | 80 kB
 manager_favorite_complexes      | 80 kB
 categories                      | 64 kB
 admins                          | 64 kB
 developers                      | 64 kB
 managers                        | 64 kB
 blog_categories                 | 64 kB
 cities                          | 64 kB
 users                           | 64 kB
 jobs                            | 48 kB
 blog_articles                   | 48 kB
 job_categories                  | 48 kB
 deals                           | 48 kB
 collections                     | 48 kB
 residential_complexes           | 48 kB
 email_verification_attempts     | 40 kB
 presentation_views              | 32 kB
 regions                         | 32 kB
 callback_requests               | 32 kB
 manager_saved_searches          | 32 kB
 favorite_properties             | 32 kB
 favorite_complexes              | 32 kB
 saved_searches                  | 32 kB
 sent_searches                   | 32 kB
 user_notifications              | 32 kB
 applications                    | 32 kB
 blog_tags                       | 32 kB
 user_activities                 | 32 kB
 collection_properties           | 32 kB
 manager_notifications           | 32 kB
 user_comparisons                | 24 kB
 manager_comparisons             | 24 kB
 properties                      | 24 kB
 buildings                       | 24 kB
 blog_comments                   | 16 kB
 booking_requests                | 16 kB
 job_applications                | 16 kB
 cashback_applications           | 16 kB
 favorites                       | 16 kB
 developer_appointments          | 16 kB
 cashback_payouts                | 16 kB
 recommendation_categories       | 16 kB
 documents                       | 16 kB
 client_property_recommendations | 16 kB
 recommendations                 | 16 kB
 notifications                   | 16 kB
 recommendation_templates        | 16 kB
 blog_article_tags               | 8192 bytes
 room_types                      | 8192 bytes
 cashback_records                | 8192 bytes
 search_categories               | 8192 bytes
(58 rows)

